iter	MultiClass
0	1.090874883
1	1.08352182
2	1.07687897
3	1.071735137
4	1.065129904
5	1.058137318
6	1.051862692
7	1.0469822
8	1.041159849
9	1.035391364
10	1.03038286
11	1.025094745
12	1.02035076
13	1.015679668
14	1.010966414
15	1.006794906
16	1.002590956
17	0.9984965522
18	0.995005943
19	0.9916475788
20	0.9882081161
21	0.9847511829
22	0.9811004895
23	0.9782469918
24	0.9747011613
25	0.9718177031
26	0.9690844282
27	0.9660727461
28	0.963500398
29	0.9606352191
30	0.9580043536
31	0.9553329596
32	0.9525813662
33	0.9502149278
34	0.9475906068
35	0.9449494075
36	0.9425817142
37	0.9404326988
38	0.9379872709
39	0.9356720315
40	0.9336494343
41	0.9317926991
42	0.9298044808
43	0.9280801145
44	0.926226177
45	0.9246542613
46	0.9226675933
47	0.920870453
48	0.9192104024
49	0.9174116326
50	0.9163011411
51	0.9150408073
52	0.9131262464
53	0.9113570405
54	0.9096886431
55	0.9082502348
56	0.9061624168
57	0.9045078429
58	0.9027240543
59	0.9011278007
60	0.8992423417
61	0.8973474355
62	0.8961066994
63	0.895001274
64	0.8939375605
65	0.8926265445
66	0.8909915151
67	0.8896496939
68	0.8881172135
69	0.8868101751
70	0.885168743
71	0.8840375884
72	0.8829577458
73	0.881823914
74	0.8811054981
75	0.8802002794
76	0.8788258833
77	0.8776451973
78	0.8768034674
79	0.8754186872
80	0.874461305
81	0.8730060907
82	0.8717640044
83	0.8709113489
84	0.8700344639
85	0.8688053498
86	0.8679822031
87	0.8668040494
88	0.8657680257
89	0.8647259927
90	0.8634437571
91	0.8622793954
92	0.8609648825
93	0.8589301171
94	0.8580042173
95	0.856798084
96	0.8558702768
97	0.8548741212
98	0.8536623899
99	0.8524736934
100	0.8516284793
101	0.8505482353
102	0.8496366542
103	0.8480026962
104	0.8468410626
105	0.8458614613
106	0.8446469191
107	0.8434830215
108	0.8425420671
109	0.8405995837
110	0.8396185165
111	0.8387693124
112	0.8375147675
113	0.8356964568
114	0.8342982967
115	0.8338661077
116	0.8328704708
117	0.832198052
118	0.8315610251
119	0.8309882368
120	0.8304682951
121	0.8295032481
122	0.8281698853
123	0.8275592325
124	0.8262831663
125	0.8251646669
126	0.824032514
127	0.8230367005
128	0.8222494395
129	0.8209028953
130	0.8192064807
131	0.8182689663
132	0.8176441848
133	0.8164073566
134	0.8150200777
135	0.8142424496
136	0.8127278319
137	0.8118190453
138	0.8107220642
139	0.8100298721
140	0.809422622
141	0.8077403837
142	0.8071429408
143	0.8064947482
144	0.8056356159
