iter	Passed	Remaining
0	4	6239
1	7	5546
2	12	6397
3	16	6208
4	21	6493
5	26	6592
6	31	6638
7	34	6464
8	37	6254
9	40	6080
10	44	5978
11	47	5860
12	50	5806
13	54	5779
14	58	5751
15	61	5731
16	65	5676
17	67	5592
18	71	5548
19	74	5476
20	77	5436
21	80	5384
22	83	5362
23	86	5342
24	89	5306
25	94	5335
26	97	5300
27	100	5277
28	103	5245
29	106	5212
30	109	5206
31	112	5166
32	115	5125
33	118	5091
34	121	5071
35	124	5063
36	128	5076
37	131	5046
38	134	5024
39	137	5001
40	140	4992
41	143	4971
42	146	4952
43	149	4932
44	151	4911
45	154	4893
46	158	4886
47	160	4862
48	164	4860
49	167	4853
50	170	4843
51	173	4830
52	176	4819
53	179	4807
54	182	4803
55	185	4794
56	188	4780
57	191	4770
58	195	4774
59	198	4754
60	200	4737
61	204	4754
62	208	4766
63	211	4749
64	214	4736
65	217	4717
66	219	4705
67	222	4694
68	226	4691
69	229	4678
70	232	4684
71	235	4670
72	238	4664
73	241	4656
74	244	4641
75	246	4627
76	249	4613
77	252	4601
78	255	4595
79	258	4584
80	260	4571
81	263	4564
82	266	4553
83	269	4541
84	272	4534
85	275	4521
86	277	4508
87	280	4506
88	283	4499
89	286	4488
90	289	4489
91	292	4478
92	295	4471
93	298	4461
94	300	4450
95	303	4439
96	306	4432
97	309	4421
98	311	4413
99	314	4406
100	317	4396
101	320	4392
102	323	4383
103	326	4375
104	328	4368
105	331	4363
106	334	4352
107	337	4349
108	340	4343
109	343	4341
110	346	4334
111	349	4325
112	351	4315
113	354	4312
114	357	4303
115	360	4295
116	362	4288
117	365	4281
118	368	4270
119	370	4264
120	373	4259
121	376	4253
122	379	4247
123	382	4239
124	384	4233
125	387	4230
126	390	4225
127	393	4222
128	396	4215
129	399	4209
130	402	4203
131	405	4200
132	408	4193
133	411	4191
134	414	4186
135	416	4181
136	420	4179
137	422	4172
138	425	4169
139	428	4164
140	431	4158
141	434	4151
142	437	4154
143	440	4147
144	443	4143
145	446	4138
146	448	4130
147	451	4128
148	454	4122
149	458	4123
150	461	4118
151	463	4111
152	466	4104
153	469	4099
154	471	4093
155	474	4090
156	477	4087
157	480	4082
