date,home_team,away_team,result,odds_home_win,odds_draw,odds_away_win,home_goals_scored_rolling,home_goals_conceded_rolling,home_shots_rolling,home_shots_on_target_rolling,home_fouls_rolling,home_corners_rolling,home_yellow_cards_rolling,home_red_cards_rolling,away_goals_scored_rolling,away_goals_conceded_rolling,away_shots_rolling,away_shots_on_target_rolling,away_fouls_rolling,away_corners_rolling,away_yellow_cards_rolling,away_red_cards_rolling,home_elo_before,away_elo_before,prob_home,prob_draw,prob_away,xG,xG.1
2021-08-13,Brentford,Arsenal,2,4.0,3.4,1.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.2365322868355333,0.2782732786300392,0.48519443453442734,1.2,1.3
2021-08-14,Man United,Leeds,2,1.53,4.5,5.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.6226312939902545,0.21169463995668653,0.16567406605305904,1.5,0.5
2021-08-14,Burnley,Brighton,1,3.1,3.1,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.30625,0.30625,0.3875,1.5,1.0
2021-08-14,Chelsea,Crystal Palace,2,1.25,5.75,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.7612985359643539,0.16549968173138127,0.0732017823042648,0.7,0.2
2021-08-14,Everton,Southampton,2,1.9,3.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.49557522123893805,0.26902654867256637,0.23539823008849559,2.4,0.8
2021-08-14,Leicester,Wolves,2,1.66,3.8,5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.5704400537557545,0.24919223400909268,0.1803677122351528,0.5,1.3
2021-08-14,Watford,Aston Villa,2,3.1,3.2,2.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.305178866041608,0.29564202647780774,0.39917910748058427,1.2,1.2
2021-08-14,Norwich,Liverpool,1,9.0,5.75,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.10539302079661615,0.16496298907296442,0.7296439901304195,1.4,1.6
2021-08-15,Newcastle,West Ham,1,3.2,3.5,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.2968388589051658,0.27139552814186585,0.4317656129529684,1.8,2.7
2021-08-15,Tottenham,Man City,2,5.5,4.2,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.17400310719834286,0.22786121180735372,0.5981356809943036,1.0,1.8
2021-08-21,Leeds,Everton,0,2.37,3.4,3.0,1.0,5.0,10.0,3.0,9.0,4.0,2.0,0.0,3.0,1.0,14.0,6.0,13.0,6.0,2.0,0.0,1490.0,1510.0,0.40208136234626296,0.28027436140018924,0.3176442762535478,1.2,1.8
2021-08-21,Brighton,Watford,2,1.7,3.5,5.75,2.0,1.0,14.0,8.0,7.0,6.0,1.0,0.0,3.0,2.0,13.0,7.0,18.0,2.0,3.0,0.0,1510.0,1510.0,0.5613668061366807,0.27266387726638774,0.16596931659693168,1.3,0.5
2021-08-21,Man City,Norwich,2,1.08,11.0,26.0,0.0,1.0,18.0,4.0,8.0,11.0,1.0,0.0,0.0,3.0,14.0,3.0,4.0,3.0,1.0,0.0,1490.0,1490.0,0.8774082709534912,0.08614553932997915,0.03644618971652964,2.6,0.1
2021-08-21,Liverpool,Burnley,2,1.18,7.5,13.0,3.0,0.0,19.0,8.0,14.0,11.0,1.0,0.0,1.0,2.0,14.0,3.0,10.0,7.0,2.0,0.0,1510.0,1490.0,0.8012162051113485,0.12605801627085214,0.07272577861779932,2.7,0.9
2021-08-21,Crystal Palace,Brentford,0,2.55,3.2,2.87,0.0,3.0,4.0,1.0,11.0,2.0,0.0,0.0,2.0,0.0,8.0,3.0,12.0,2.0,0.0,0.0,1490.0,1510.0,0.3723872275722251,0.29674607197161684,0.3308667004561581,0.5,0.9
2021-08-21,Aston Villa,Newcastle,2,1.8,3.75,4.33,2.0,3.0,11.0,2.0,13.0,4.0,1.0,0.0,2.0,4.0,17.0,3.0,4.0,7.0,1.0,0.0,1490.0,1490.0,0.5275084060230983,0.25320403489108717,0.21928755908581452,1.2,0.7
2021-08-22,Southampton,Man United,0,5.5,4.2,1.57,1.0,3.0,6.0,3.0,15.0,8.0,0.0,0.0,5.0,1.0,16.0,8.0,11.0,5.0,1.0,0.0,1490.0,1510.0,0.1720368389470114,0.22528633671632445,0.6026768243366641,0.7,1.8
2021-08-22,Wolves,Tottenham,1,3.2,3.2,2.35,0.0,1.0,17.0,3.0,10.0,4.0,2.0,0.0,1.0,0.0,13.0,3.0,11.0,3.0,2.0,0.0,1490.0,1510.0,0.2974683544303798,0.2974683544303798,0.40506329113924056,1.7,1.7
2021-08-22,Arsenal,Chelsea,1,4.75,3.75,1.72,0.0,2.0,22.0,4.0,8.0,5.0,0.0,0.0,3.0,0.0,13.0,6.0,15.0,5.0,0.0,0.0,1490.0,1510.0,0.19887458567794647,0.2519078085253989,0.5492176057966546,0.3,3.1
2021-08-23,West Ham,Leicester,2,2.5,3.5,2.75,4.0,2.0,8.0,9.0,3.0,6.0,0.0,0.0,1.0,0.0,9.0,5.0,6.0,5.0,1.0,0.0,1510.0,1510.0,0.38118811881188125,0.2722772277227723,0.34653465346534656,2.3,0.6
2021-08-28,West Ham,Crystal Palace,0,1.55,4.0,6.5,4.0,1.5,10.5,8.0,5.5,8.0,0.0,0.0,0.0,1.5,5.5,1.5,11.5,2.5,1.5,0.0,1520.0,1490.5750112778453,0.6150206978119456,0.23832052040212892,0.1466587817859255,1.3,1.1
2021-08-28,Norwich,Leicester,1,4.5,3.5,1.85,0.0,4.0,7.5,1.5,5.5,2.0,0.5,0.0,1.0,2.0,7.0,3.0,7.0,2.5,1.0,0.5,1480.0,1500.0,0.2119476268412439,0.27250409165302786,0.5155482815057284,1.5,1.5
2021-08-28,Brighton,Everton,1,2.3,3.2,3.3,2.0,0.5,13.5,5.5,9.0,6.5,2.5,0.0,2.5,1.5,15.5,7.0,13.0,5.5,3.0,0.0,1520.0,1509.4249887221547,0.41395531164249316,0.2975303802430419,0.2885143081144649,0.7,1.4
2021-08-28,Newcastle,Southampton,0,2.5,3.4,2.8,1.0,3.0,13.0,2.0,11.0,5.5,2.5,0.0,1.0,2.0,7.0,3.0,13.5,7.5,1.0,0.0,1480.0,1490.5750112778453,0.38049560351718625,0.2797761790567546,0.33972821742605913,1.0,3.6
2021-08-28,Man City,Arsenal,2,1.25,6.0,12.0,2.5,0.5,17.0,4.0,10.5,8.5,1.0,0.0,0.0,2.0,14.0,3.5,9.0,7.0,1.5,0.0,1500.0,1480.5750112778453,0.7619047619047619,0.15873015873015872,0.07936507936507936,4.4,0.2
2021-08-28,Aston Villa,Brentford,0,1.95,3.6,3.8,2.0,1.5,10.5,2.0,10.5,3.5,2.0,0.0,1.0,0.0,11.0,3.0,10.5,3.5,0.5,0.0,1500.0,1509.4249887221547,0.4866595517609392,0.26360725720384204,0.24973319103521877,0.7,0.9
2021-08-28,Liverpool,Chelsea,0,2.45,3.3,2.9,2.5,0.0,23.0,8.5,10.0,9.5,0.5,0.0,2.5,0.0,17.5,5.5,9.5,6.5,0.0,0.0,1519.4249887221547,1519.4249887221547,0.3865105008077544,0.28695476575121165,0.32653473344103395,2.5,0.6
2021-08-29,Burnley,Leeds,0,3.1,3.5,2.25,0.5,2.0,11.5,3.0,11.0,5.5,1.0,0.0,1.5,3.5,13.5,3.5,7.5,6.0,2.0,0.0,1480.5750112778453,1490.5750112778453,0.306420233463035,0.2714007782101167,0.42217898832684825,1.0,1.2
2021-08-29,Tottenham,Watford,2,1.36,4.75,9.0,1.0,0.0,10.5,4.5,9.0,3.5,3.0,0.0,1.5,2.0,11.5,4.0,12.0,2.0,1.5,0.0,1519.4249887221547,1500.0,0.6956875508543532,0.19918633034987795,0.10512611879576893,1.0,0.8
2021-08-29,Wolves,Man United,1,5.0,3.5,1.75,0.0,1.0,21.0,4.5,9.5,4.5,1.5,0.0,3.0,1.0,15.5,6.0,10.5,6.0,2.0,0.0,1480.5750112778453,1509.4249887221547,0.1891891891891892,0.27027027027027023,0.5405405405405405,2.1,0.6
2021-09-11,Crystal Palace,Tottenham,2,4.2,3.5,1.9,0.6666666666666666,1.6666666666666667,6.666666666666667,1.6666666666666667,10.0,2.6666666666666665,1.0,0.0,1.0,0.0,12.0,5.666666666666667,8.666666666666666,5.666666666666667,3.0,0.0,1491.4199114200496,1528.8664744330495,0.22673031026252988,0.27207637231503584,0.5011933174224344,2.1,0.1
2021-09-11,Arsenal,Norwich,2,1.5,4.6,6.0,0.0,3.0,9.666666666666666,2.3333333333333335,8.333333333333334,4.666666666666667,1.6666666666666667,0.3333333333333333,0.3333333333333333,3.3333333333333335,9.666666666666666,2.3333333333333335,6.333333333333333,4.333333333333333,1.0,0.0,1471.1335255669505,1470.5750112778453,0.6344827586206896,0.20689655172413796,0.1586206896551724,2.7,0.7
2021-09-11,Brentford,Brighton,1,2.8,3.2,2.62,1.0,0.3333333333333333,10.333333333333334,2.6666666666666665,11.666666666666666,3.0,1.3333333333333333,0.0,1.3333333333333333,1.0,13.666666666666666,4.666666666666667,8.333333333333334,5.666666666666667,2.0,0.0,1509.1537822632934,1509.6957206672173,0.33970826580226904,0.2972447325769854,0.3630470016207455,0.4,0.3
2021-09-11,Leicester,Man City,1,6.0,4.0,1.57,1.3333333333333333,1.6666666666666667,7.666666666666667,3.0,7.666666666666667,4.666666666666667,1.0,0.3333333333333333,3.3333333333333335,0.3333333333333333,19.666666666666668,6.0,8.666666666666666,10.333333333333334,1.0,0.0,1509.4249887221547,1509.4414857108948,0.15818639798488665,0.23727959697732998,0.6045340050377834,0.6,2.8
2021-09-11,Man United,Newcastle,2,1.18,7.5,15.0,2.3333333333333335,0.6666666666666666,13.666666666666666,5.0,10.0,6.333333333333333,2.6666666666666665,0.0,1.3333333333333333,2.6666666666666665,12.0,3.0,11.0,5.0,2.6666666666666665,0.0,1518.596522873633,1480.3042793327827,0.8090614886731391,0.12729234088457386,0.06364617044228693,2.5,0.4
2021-09-11,Southampton,West Ham,0,2.9,3.5,2.4,1.3333333333333333,2.0,12.0,4.0,11.0,6.333333333333333,1.6666666666666667,0.0,3.3333333333333335,1.6666666666666667,11.666666666666666,6.666666666666667,7.0,7.0,0.3333333333333333,0.0,1490.2707319450626,1519.1550998577957,0.3292826342610741,0.2728341826734614,0.39788318306546455,0.7,0.7
2021-09-11,Watford,Wolves,1,3.4,3.2,2.25,1.0,1.6666666666666667,10.666666666666666,3.3333333333333335,12.666666666666666,2.3333333333333335,2.0,0.0,0.0,1.0,19.0,5.0,8.666666666666666,4.666666666666667,2.0,0.0,1490.5585142891052,1471.403477126367,0.27982899339292655,0.29731830547998445,0.42285270112708895,0.2,2.2
2021-09-11,Chelsea,Aston Villa,2,1.28,5.5,11.0,2.0,0.3333333333333333,13.666666666666666,4.666666666666667,7.666666666666667,5.333333333333333,0.6666666666666666,0.3333333333333333,1.6666666666666667,1.3333333333333333,9.333333333333334,3.0,12.0,3.3333333333333335,2.3333333333333335,0.0,1519.4249887221547,1500.2712064588613,0.7412398921832885,0.1725067385444744,0.0862533692722372,1.3,1.2
2021-09-12,Leeds,Liverpool,1,4.33,4.0,1.75,1.3333333333333333,2.6666666666666665,13.0,3.0,8.0,5.666666666666667,2.3333333333333335,0.0,2.0,0.3333333333333333,23.333333333333332,8.0,11.0,10.333333333333334,0.3333333333333333,0.0,1490.2872675945252,1519.4249887221547,0.21945293518300807,0.23755780233560622,0.5429892624813857,1.2,4.3
2021-09-13,Everton,Burnley,2,1.7,3.75,5.0,2.3333333333333335,1.0,15.0,6.333333333333333,11.666666666666666,5.333333333333333,2.6666666666666665,0.0,0.6666666666666666,1.6666666666666667,11.666666666666666,3.0,11.666666666666666,5.333333333333333,2.0,0.0,1519.7292680549374,1480.8627549611654,0.5576208178438662,0.2527881040892193,0.1895910780669145,1.4,1.0
